id,logka_SAEM,logV_SAEM,logCl_SAEM
1,-0.0248961,4.83204,1.46731
2,0.0326777,4.31248,1.4844
3,0.0843239,4.68124,1.58669
4,-0.00638711,4.35091,1.36548
5,-0.0440769,4.46515,1.11674
6,0.0463383,4.24698,1.43982
7,-0.0408417,3.98407,1.34887
8,-0.00949644,4.06125,1.73297
9,-0.0185723,4.45485,1.13779
10,0.0772021,4.16877,1.24498
11,-0.0148542,4.34421,1.74179
12,-0.0107673,4.41959,1.33089
13,-0.170459,4.46766,1.26775
14,-0.326485,4.45567,1.1683
15,-0.117023,4.49158,1.43185
16,0.0178559,4.18435,1.18729
17,0.0980481,4.06606,1.82145
18,0.00403029,4.36838,1.22358
19,0.104489,4.18723,1.5148
20,-0.0114893,4.25865,1.05612
21,0.0777343,4.20826,1.27396
22,0.122062,4.47065,1.40987
23,0.186396,3.88291,1.11891
24,-0.154241,4.43107,0.917812
25,0.0839135,4.76787,1.58661
26,0.147298,4.37377,1.41937
27,-0.0279957,3.88291,1.23569
28,-0.04959,4.3189,1.10534
29,-0.0144172,4.44951,1.47455
30,0.110233,4.59499,1.22637
31,-0.318543,4.19416,1.57029
32,0.08069,4.38837,1.71815
33,0.100522,4.38119,1.64459
34,-0.0912111,4.60001,1.26488
35,-0.441885,4.65392,1.32843
36,0.0893374,4.2331,1.43323
37,-0.0254805,4.71639,1.52911
38,0.220498,4.52484,1.64238
39,0.00821181,4.31608,0.994905
40,0.00269687,4.50104,1.37524
41,-0.313064,4.12021,0.878997
42,-0.024284,4.09983,1.20726
43,0.0399045,4.06609,0.988958
44,-0.350244,3.93725,1.059
45,0.390932,4.07958,1.35343
46,-0.0233112,4.08852,1.19282
47,0.0186279,4.33756,1.42557
48,0.00990905,4.19428,1.32894
49,0.0742611,3.83137,1.72413
50,-0.152249,3.93625,1.30771
51,-0.132927,4.09149,1.23219
52,0.258929,4.03032,1.1273
53,0.0683726,4.13442,1.10807
54,-0.00564727,4.35472,1.32141
55,0.216339,3.82906,1.47007
56,-0.0264028,4.10759,1.01647
57,-0.281946,4.7367,1.48249
58,0.017164,4.49114,1.39185
59,0.0631685,4.84776,1.64117
60,-0.0861653,4.17819,0.967594
61,0.0437932,4.06768,1.28846
62,0.0642592,4.29658,1.46139
63,0.0985605,4.34416,1.10323
64,0.0536653,3.949,1.40592
65,-0.0585954,4.29047,1.26371
66,-0.0290269,4.19629,1.33447
67,-0.051621,4.39134,1.94982
68,0.00722394,4.60611,1.23439
69,0.113632,4.05684,1.0403
70,0.012653,4.33383,1.56919
71,-0.250187,4.3744,1.95621
72,-0.000342752,4.33111,1.75778
73,-0.00496861,3.7766,0.575655
74,0.292594,3.91943,1.43374
75,-0.0873808,4.37806,1.33779
76,0.260867,4.09268,1.21743
77,0.0929772,4.46826,1.44068
78,0.0421074,4.24797,1.64921
79,-0.146965,4.47828,1.36935
80,0.032913,4.1508,1.15997
81,-0.297225,4.3406,1.40329
82,-0.0441084,4.21929,1.23683
83,0.147354,4.06098,1.43692
84,-0.121242,4.39565,1.72322
85,-0.0171306,4.34277,1.4316
86,0.201094,3.94307,1.41235
87,0.112238,4.73417,1.74384
88,0.00336008,4.54291,1.09075
89,0.0114454,4.25734,1.19633
90,-0.0231978,3.76119,1.43206
91,0.0755852,4.44206,1.50045
92,0.183457,4.28808,1.53903
93,-0.0312991,4.35615,1.4818
94,-0.072735,4.32628,1.1041
95,0.274507,4.21079,1.14718
96,0.150176,4.43455,1.43438
97,0.0250382,4.27578,1.25667
98,0.123243,4.46817,1.69843
99,0.0718309,3.72653,1.58142
100,0.107903,3.86116,1.17411
101,0.112401,4.35935,1.69878
102,0.077954,3.98554,1.35827
103,0.145687,4.43948,1.50513
104,-0.0120752,4.39301,1.24225
105,-0.104642,4.38412,1.10464
106,-0.00498067,4.78855,1.39338
107,-0.0356934,3.85453,1.03483
108,0.0108638,3.73026,1.77066
109,0.0429375,4.37461,1.05403
110,-0.0270137,3.67491,1.259
111,0.00700636,4.31835,1.54785
112,0.245771,4.13324,1.56953
113,0.0868859,4.76851,1.23049
114,-0.102806,4.71998,1.44389
115,-0.0612417,4.24797,1.0247
116,0.0473231,4.18906,1.13012
117,0.108248,4.26539,1.37894
118,0.0615254,4.18311,1.92041
119,-0.0393959,4.1858,1.08694
120,0.0290435,4.11914,1.67678
