rep,id,logka,logV1,logCl,logV2,logQ,eta_logka,eta_logV1,eta_logCl,eta_logV2,eta_logQ
1,1,-0.0644539595312785,4.14050773619926,0.930855594887284,4.15782782099476,1.71785401000041,0.0669675942707837,-0.0251244454062789,-0.425947616968025,0.242113670311361,0.0940316432672661
1,2,0.148808733914689,4.00368590457542,1.2963826119964,4.47277787048614,2.61476053016775,0.280230287716752,-0.161946277030113,-0.0604205998589076,0.557063719802744,0.990938163434602
1,3,-0.597135182975068,4.33486738936243,1.15900512369373,3.63144787415279,0.70741784888702,-0.465713629173005,0.169235207756893,-0.197798088161579,-0.284266276530603,-0.916404517846129
1,4,-0.290036617723764,4.12712405288062,1.08007122043574,4.04118395733973,1.74631378798085,-0.158615063921702,-0.0385081287249172,-0.276731991419571,0.125469806656336,0.122491421247704
1,5,-0.451043206574392,4.45284982568019,0.944233315681241,3.84205885921172,2.19236366486693,-0.31962165277233,0.287217644074659,-0.412569896174068,-0.0736552914716815,0.568541298133782
1,6,-0.168243480589382,3.74112149207655,1.10816173872858,4.09922647105842,1.37589470695228,-0.0368219267873201,-0.424510689528987,-0.248641473126725,0.183512320375021,-0.247927659780869
1,7,-0.311248902149229,3.99038365598565,1.17880341341229,4.01769817529793,1.68100021619912,-0.179827348347167,-0.175248525619883,-0.177999798443019,0.101984024614536,0.0571778494659672
1,8,0.546254674038361,4.1023865681535,0.977303953297368,3.50591701127047,1.70491762873472,0.677676227840423,-0.0632456134520316,-0.37949925855794,-0.409797139412924,0.0810952620015759
1,9,0.109254622131458,4.59719148999892,1.45975575522524,3.77597363696628,1.77763285579716,0.24067617593352,0.431559308393388,0.102952543369934,-0.139740513717118,0.153810489064014
1,10,-0.228086428022407,4.4253660377761,1.22494260289029,4.56140913507277,2.36687172025333,-0.0966648742203446,0.25973385617057,-0.131860608965015,0.645694984389372,0.743049353520184
