id,eta_logka_SAEM,eta_logV_SAEM,eta_logCl_SAEM
1,0.168545,0.0174508,0.134673
2,-0.0433395,0.266991,-0.198131
3,0.113549,0.00570004,0.328521
4,-0.375638,0.525536,0.0371036
5,0.0308178,-0.0322552,-0.282905
6,-0.0533357,0.268094,-0.0192718
7,0.128456,0.183978,0.415761
8,0.0804033,0.195997,0.404307
9,0.0193442,0.0349193,0.090227
10,0.200391,0.104233,0.0514134
11,-0.213271,0.33832,-0.022108
12,-0.00420792,0.0444017,-0.252438
13,0.234707,0.243363,0.326887
14,0.147888,0.527492,0.188405
15,0.062335,-0.226577,-0.0541156
16,-0.229145,-0.304066,-0.438496
17,0.21636,-0.224801,0.460121
18,0.400934,-0.299166,0.807909
19,0.339288,-0.0758578,-0.0205651
20,-0.443328,0.249236,-0.117249
21,-0.0717828,-0.0336854,0.069236
22,-0.505877,0.0203289,0.0641941
23,-0.0370036,0.132977,0.116797
24,-0.0614863,-0.106473,-0.456767
25,0.0911925,0.260734,-0.106486
26,0.045792,-0.392716,0.299524
27,0.13892,0.0487935,0.511554
28,0.0752516,-0.631634,0.296526
29,-0.234263,-0.290203,-0.51127
30,0.0695396,0.315454,0.196692
31,-0.021335,0.0915614,-0.0942724
32,0.210929,-0.0607449,-0.0739941
33,0.378794,-0.190457,-0.270189
34,-0.355045,-0.248803,0.146671
35,0.115591,0.0146547,-0.0109492
36,0.0415887,0.270285,-0.226445
37,-0.06227,-0.273227,0.111743
38,-0.360457,0.119954,0.0905075
39,0.425343,-0.0171032,-0.322752
40,-0.0738102,-0.531018,0.603962
41,0.145116,0.0188747,0.0689777
42,-0.0530238,-0.153162,-0.190313
43,0.158244,0.167148,0.610814
44,0.129133,0.0744652,-0.338089
45,0.0967837,0.0696196,0.0155346
46,0.0260994,0.120526,0.046006
47,-0.278936,-0.534643,0.145325
48,0.225821,0.32514,-0.118045
49,0.0647692,-0.310263,0.322608
50,0.253586,-0.274045,-0.484205
51,0.00170413,-0.0891234,0.0362803
52,-0.243337,0.303016,-0.271451
53,-0.203454,-0.474079,-0.252852
54,0.222159,0.150063,0.214264
55,0.332202,-0.0242929,-0.176455
56,-0.159671,0.301321,-0.239071
57,0.13013,-0.17037,0.0485162
58,0.0317318,-0.268407,-0.153427
59,-0.0194707,-0.0748373,-0.288503
60,0.0366968,-0.116006,-0.312021
61,-0.788297,0.454003,0.112281
62,0.15675,0.247103,0.319038
63,-0.0226362,0.0190922,0.00669903
64,-0.143207,0.105495,-0.209456
65,-0.0381211,-0.148613,-0.150689
66,0.41317,-0.574194,-0.194966
67,-0.0188408,0.0180261,0.169409
68,-0.21214,-0.393638,0.0131326
69,-0.0123368,-0.174378,0.101103
70,0.137846,0.0689202,0.226446
71,-0.0239787,0.0365224,-0.359186
72,0.253666,0.229998,0.218786
73,-0.205295,0.143057,-0.0280522
74,-0.151214,0.0457119,0.16051
75,-0.0781214,0.204589,0.117083
76,-0.00904576,0.00179115,-0.243255
77,-0.137747,0.279471,-0.38926
78,-0.0471089,-0.248035,-0.0688912
79,-0.297169,0.494852,-0.0482285
80,0.190267,0.0703172,0.210677
81,-0.017963,-0.162235,-0.39004
82,-0.172,0.249698,-0.177785
83,-0.49109,0.319008,-0.120905
84,0.0380249,-0.148337,-0.180857
85,-0.62353,-0.00598533,-0.145154
86,0.477395,-0.265052,-0.286451
87,0.175693,-0.144259,0.116197
88,-0.0972834,0.0665989,-0.224229
89,0.0650903,0.164138,0.0795236
90,-0.378606,0.257675,-0.125328
91,0.181826,-0.0785264,-0.176801
92,0.133881,0.294934,0.172052
93,-0.616957,0.141019,0.00343615
94,-0.00893884,-0.188271,0.025327
95,0.0286082,0.00419685,-0.214032
96,-0.248295,-0.0143579,-0.604785
97,0.0088703,0.151346,-0.119867
98,-0.410506,-0.120438,0.00905795
99,0.0828456,-0.261981,0.151845
100,0.448677,0.0049436,0.309879
101,0.265498,-0.0428261,0.00634211
102,0.0247923,-0.318501,0.266286
103,-0.0546264,-0.317681,-0.215415
104,-0.0426161,-0.182515,0.39987
105,0.401956,0.0464457,0.0639187
106,-0.00186566,0.216103,0.017163
107,0.0477183,-0.325011,-0.0700959
108,0.326056,-0.144875,-0.118424
109,-0.039555,0.0774383,0.273622
110,-0.195347,0.0502608,-0.485785
111,-0.473376,0.0276741,-0.671916
112,0.103797,-0.115041,0.360045
113,-0.0496784,-0.0903186,-0.0181872
114,0.0273542,0.324165,0.191769
115,-0.000315794,-0.113212,0.273042
116,0.0683164,0.0661567,0.361513
117,-0.296971,-0.0746412,-0.201837
118,0.11327,-0.0648577,0.269595
119,0.0103844,0.126895,0.0987653
120,0.0720394,0.23752,0.196631
