id,eta_logka_SAEM,eta_logV_SAEM,eta_logCl_SAEM
1,-0.122304,-0.0589566,-0.380345
2,0.028967,-0.264459,-0.0495092
3,-0.0564997,0.180359,-0.307706
4,-0.0256183,0.0124175,0.27216
5,0.222656,0.382288,-0.0135445
6,0.00565222,0.0389751,0.0228876
7,0.0279526,0.198912,-0.245765
8,-0.0168155,0.298993,-0.186528
9,0.0524542,0.185716,0.0756019
10,0.0284485,-0.105123,-0.2924
11,0.286973,-0.153136,-0.133595
12,-0.0726878,-0.533193,-0.0495573
13,0.131181,0.0824181,0.337446
14,0.026577,-0.285646,-0.309843
15,-0.0600396,-0.379637,-0.264412
16,0.0314707,-0.273858,0.732792
17,-0.00739066,0.423469,-0.180777
18,0.0397801,0.132663,0.188193
19,0.0820241,0.136994,0.254901
20,-0.0143702,-0.0949916,-0.378134
21,-0.34101,-0.0516723,-0.398844
22,-0.0430087,0.203991,-0.118147
23,0.226041,0.294388,0.0558012
24,-0.297561,0.0957168,-0.0976386
25,0.0724083,-0.144901,0.0399697
26,-0.21631,-0.166142,0.162098
27,-0.140793,-0.0584465,-0.201001
28,0.034104,0.391102,-0.0647687
29,0.227824,-0.762903,-0.0394236
30,-0.0104747,-0.232568,0.295708
31,-0.101749,-0.14317,-0.110351
32,0.055673,0.144675,-0.185761
33,0.0163597,0.0656088,0.202113
34,-0.0664291,0.603987,-0.209837
35,0.00570634,-0.0111832,-0.258633
36,0.345289,-0.598474,-0.243228
37,-0.142376,0.114111,0.635125
38,-0.237255,0.0566612,0.404619
39,-0.338728,-0.262227,-0.30208
40,-0.0513195,-0.111014,-0.878508
41,-0.0312081,0.143828,0.400977
42,0.0954435,0.10972,0.291521
43,-0.0232507,-0.0228591,-0.0777917
44,-0.0442277,-0.100503,-0.299129
45,-0.0402446,-0.0768229,-0.181021
46,-0.144965,0.200917,0.203693
47,0.0410776,-0.349373,0.108559
48,-0.381316,0.367696,-0.135039
49,0.0185343,-0.227117,0.390584
50,-0.0169622,0.494899,0.200352
51,0.248039,0.13166,-0.307167
52,-0.0295694,0.529698,0.163084
53,0.0144713,0.0486034,-0.187744
54,0.0579464,-0.0208377,0.0960516
55,0.605063,-0.311471,-0.207367
56,-0.00491151,0.201103,-0.118926
57,0.0711388,0.24258,0.299381
58,-0.00911197,0.297132,0.0396573
59,0.0216753,-0.355494,0.085789
60,0.0324093,0.0404134,0.164624
61,-0.0752796,0.301347,0.227921
62,-0.0688935,-0.407352,-0.246545
63,0.000579827,0.0997319,0.105243
64,0.124862,0.0216829,-0.152427
65,0.0335577,0.343713,-0.0523519
66,-0.0572722,-0.0130135,-0.358865
67,-0.179178,-0.143514,-0.174638
68,-0.00862432,0.467563,0.124421
69,-0.0373993,-0.106956,-0.187113
70,0.18148,-0.442496,0.226337
71,-0.0547414,0.0412792,0.254248
72,-0.061669,-0.334651,-0.242
73,0.000439599,-0.040874,-0.504047
74,0.0136934,0.514727,-0.0124647
75,-0.0837433,0.0555806,0.324482
76,-0.0153964,0.0325589,-0.403007
77,0.0910277,-0.0764838,0.619161
78,-0.0148859,0.45845,-0.0484328
79,0.107154,0.340828,-0.179191
80,0.0208638,-0.467027,0.0583288
81,0.0145707,-0.380049,-0.00320483
82,0.370945,0.156422,-0.168306
83,-0.0706581,0.117186,-0.113214
84,0.0196795,0.0946324,0.0354031
85,0.0230891,0.64307,0.223483
86,-0.0472295,-0.0751192,-0.221562
87,0.0190512,0.035632,0.529438
88,-0.0481358,0.157027,-0.0380836
89,0.065885,0.265753,0.0552039
90,-0.0164202,-0.351203,-0.349746
91,0.222062,0.0389416,0.150086
92,-0.184601,0.389592,-0.108043
93,-0.139442,0.0374242,-0.0369065
94,-0.000928762,0.07471,0.586546
95,-0.0184988,0.0450984,-0.0422181
96,0.0410464,0.0382251,-0.500649
97,0.188067,-0.356918,0.496217
98,-0.0646675,-0.223837,-0.49335
99,0.146116,0.373998,0.0118661
100,-0.0339808,-0.149948,-0.225177
101,0.118833,-0.504305,0.4008
102,-0.100231,0.224717,0.0814469
103,-0.0106722,-0.339546,0.231772
104,-0.191114,0.107304,-0.087647
105,0.0148933,0.0208644,-0.144489
106,-0.35522,0.138075,-0.250998
107,-0.0302069,-0.289088,-0.0774746
108,-0.0814993,0.642929,0.241761
109,-0.041425,-0.0605507,0.0733424
110,-0.0165265,-0.688452,0.0200472
111,0.128155,-0.46821,0.494862
112,0.207434,-0.356314,0.192113
113,0.199593,0.0215127,0.820667
114,-0.00999107,0.227617,0.0561069
115,-0.0497292,-0.148809,-0.173296
116,-0.0351076,-0.473303,-0.207242
117,-0.0377632,-0.317905,0.390912
118,-0.0374393,0.0410747,-0.269626
119,-0.0189246,-0.134805,-0.117288
120,-0.00292766,0.28213,0.317457
