id,eta_logka_SAEM,eta_logV_SAEM,eta_logCl_SAEM
1,0.0211315,0.207578,0.429444
2,0.0430551,-0.0670915,0.31726
3,-0.128795,0.20568,-0.0987494
4,-0.119885,-0.0350893,-0.125201
5,0.0385535,0.130324,-0.1052
6,0.148903,-0.445859,0.525801
7,-0.0253905,0.0642071,-0.0469079
8,0.0411818,-0.0600381,0.12029
9,0.279807,0.0531882,0.0496512
10,0.170842,0.0197342,0.229459
11,-0.106518,0.121013,0.153431
12,0.0752398,0.449508,0.220893
13,0.104404,0.0906554,-0.216972
14,0.0463441,-0.290544,-0.216191
15,0.18878,-0.0594845,0.234542
16,-0.113794,-0.329939,-0.157782
17,0.0677384,-0.290173,-0.0270967
18,0.0395466,0.0492485,-0.00576111
19,-0.0531968,0.169643,-0.224941
20,-0.085522,-0.0492955,0.0705895
21,-0.0361574,-0.0754078,0.145675
22,-0.156082,-0.274755,0.0610706
23,0.177936,-0.0643655,0.44755
24,-0.0577391,0.324237,0.0492811
25,-0.236768,0.0365103,-0.198326
26,0.0206353,0.218286,0.0537632
27,0.0470187,0.112479,0.368656
28,-0.0161252,-0.203834,-0.0249717
29,0.0338816,0.214899,0.0686152
30,0.0321729,-0.447003,0.545505
31,-0.222153,-0.0241176,-0.20213
32,0.0737957,0.00620397,-0.232618
33,-0.0418683,-0.00446631,-0.2723
34,-0.111409,0.0878045,-0.18012
35,0.101816,-0.198001,0.285772
36,0.0471999,-0.19002,0.200691
37,-0.156506,-0.0364051,0.018892
38,0.0031097,0.134129,-0.0467396
39,0.163642,0.0391183,0.082901
40,0.00900367,0.157733,0.0255324
41,-0.206907,0.0214608,-0.0110365
42,0.0142021,0.0660624,-0.0500063
43,-0.019026,0.42604,0.0315578
44,-0.0145044,0.626452,0.310659
45,0.0648424,0.140504,0.105625
46,0.0189309,0.00652257,-0.0545624
47,-0.526571,0.236222,-0.014056
48,0.0933905,-0.0574938,0.0915732
49,-0.425211,-0.00846175,-0.294048
50,0.244875,0.0379794,-0.20912
51,-0.145937,-0.0497552,-0.30575
52,0.10527,0.135528,0.173765
53,-0.00589061,-0.0617291,-0.0180895
54,-0.0369002,0.0139689,-0.127245
55,0.239387,-0.2977,0.45003
56,-0.0353154,0.463849,-0.143293
57,0.0511742,0.164188,0.165179
58,-0.30162,-0.319776,0.269833
59,0.0576028,-0.143831,0.270463
60,0.159555,-0.0801486,-0.254375
61,0.0226877,0.0174872,0.125924
62,-0.0184326,-0.0781733,-0.0463779
63,-0.273884,0.174927,-0.274037
64,-0.0646024,0.401776,-0.126614
65,-0.00590689,-0.0698599,-0.449562
66,-0.00224525,0.0138517,-0.0129268
67,0.220106,-0.0327291,0.232196
68,0.329297,0.0781846,0.0195909
69,-0.494067,0.303899,-0.141706
70,0.0639111,-0.546729,-0.215974
71,-0.139214,0.114243,-0.307327
72,-0.141975,-0.935213,0.131368
73,-0.288797,0.349878,-0.0878895
74,-0.0617261,0.243573,-0.225701
75,-0.118243,0.0883331,0.0399654
76,-0.398419,-0.820285,0.341345
77,0.0238093,-0.572038,-0.00858933
78,-0.0139232,-0.270687,0.107681
79,0.339312,-0.0886393,0.332541
80,-0.0492189,-0.056876,-0.0109321
81,0.114042,-0.43355,-0.502712
82,0.015071,0.214659,0.074156
83,-0.0107595,-0.149483,0.163353
84,-0.00178988,0.558105,0.289772
85,0.174481,0.0534983,-0.26386
86,-0.208571,0.627106,0.0778708
87,0.12414,0.0921516,0.225673
88,-0.288859,0.145651,-0.0595878
89,-0.0344888,0.417981,-0.151883
90,-0.512764,0.654294,0.0100447
91,0.120637,0.21376,0.207114
92,0.213126,-0.0909104,0.00752054
93,-0.0924094,0.0602931,-0.174158
94,0.0219157,-0.23968,-0.331868
95,-0.187227,-0.45531,-0.329294
96,-0.096504,-0.408795,-0.0958851
97,0.217904,0.0950867,-0.280776
98,0.303221,-0.0257256,-0.206915
99,0.0337651,0.0255847,-0.144894
100,0.240364,-0.155519,-0.0649751
101,0.0983468,0.0587741,-0.28024
102,0.100331,0.2308,0.193013
103,-0.010459,-0.333176,-0.305691
104,0.0931105,0.0808852,-0.113885
105,0.0876534,-0.323263,-0.23275
106,-0.234193,0.03746,-0.177285
107,-0.118837,-0.0852003,-0.0938302
108,0.00194731,0.219139,0.163725
109,0.0190672,0.266839,0.152685
110,-0.00707165,0.0884925,0.0769463
111,0.187004,0.129848,0.0702046
112,0.16157,-0.154258,0.112221
113,0.00794368,0.0437586,0.0675182
114,0.238083,-0.40288,0.000146727
115,-0.21779,-0.304388,-0.30782
116,-0.0376165,0.0639774,-0.212076
117,0.195072,0.202756,-0.0909055
118,0.258374,-0.0550009,0.840399
119,-0.0670402,-0.167579,-0.464612
120,-0.0650525,-0.0919215,0.0426352
