id,eta_logV1_SAEM,eta_logQ_SAEM,eta_logV2_SAEM,eta_logVm_SAEM,eta_logKm_SAEM,eta_logV1_mean,eta_logQ_mean,eta_logV2_mean,eta_logVm_mean,eta_logKm_mean,eta_logV1_mode,eta_logQ_mode,eta_logV2_mode,eta_logVm_mode,eta_logKm_mode,eta_logV1_sd,eta_logQ_sd,eta_logV2_sd,eta_logVm_sd,eta_logKm_sd
1,0.261876,0.0880763,0.158677,-0.169473,0.269361,0.246488,0.109671,0.162514,-0.183105,0.224062,0.264916,0.0559248,0.0844957,-0.115711,0.248413,0.0646653,0.214624,0.225824,0.156335,0.268282
2,0.211614,0.156068,-0.0427766,0.27061,-0.161912,0.21056,0.166653,-0.162589,0.339824,-0.168027,0.208928,0.135476,-0.0988216,0.344613,-0.120826,0.0557129,0.257835,0.237256,0.161037,0.341792
3,0.144642,-0.00348975,0.200399,0.00657735,0.0227384,0.161567,-0.00670484,0.0924407,0.0952256,0.0365871,0.158154,-0.0275934,0.117942,0.0775418,0.0135343,0.0596732,0.242555,0.166584,0.154747,0.31482
4,0.164227,-0.102296,-0.000214872,0.0194768,0.321237,0.171771,-0.0554994,-0.101796,0.00633185,0.248663,0.163218,-0.000899923,-0.141569,0.0456973,0.266776,0.0508844,0.287254,0.256076,0.12078,0.175369
5,-0.142746,-0.15486,0.756937,0.0669509,0.519469,-0.154308,-0.167177,0.58745,0.258067,0.70795,-0.145257,-0.186621,0.747987,0.126128,0.583804,0.0555215,0.213642,0.287147,0.293752,0.262533
6,-0.372715,-0.334119,0.315544,0.174793,0.225668,-0.386456,-0.284678,0.224039,0.241536,0.319873,-0.390545,-0.278541,0.308047,0.158449,0.167533,0.0541434,0.165352,0.152625,0.0658069,0.143528
7,-0.0581082,-0.144388,0.145605,0.124121,-0.0812812,-0.0614469,-0.217616,0.0824022,0.366831,0.240089,-0.053105,-0.158325,0.0612825,0.264047,0.100304,0.0460326,0.193512,0.152748,0.125213,0.16878
8,0.244602,-0.0479457,-0.451969,0.157484,-0.0841458,0.246225,-0.0731406,-0.462235,0.200728,-0.0269011,0.227798,0.0218609,-0.451933,0.212621,-0.021623,0.0497675,0.292877,0.1953,0.0860566,0.118614
9,0.103897,-0.370851,-0.237066,0.0128744,0.1443,0.1003,-0.405435,-0.185171,0.0150804,0.170135,0.0876428,-0.254017,-0.399682,0.0892005,0.183479,0.0729129,0.348748,0.368918,0.158406,0.212502
10,0.526425,0.0496843,0.0446672,-0.155373,0.20694,0.510335,0.125336,0.0708182,-0.136807,0.236248,0.510172,0.0982843,0.109962,-0.165363,0.159521,0.0616596,0.284047,0.219761,0.151205,0.246357
11,0.54904,-0.12133,-0.175028,0.0636432,-0.0615037,0.512076,0.0665212,-0.114609,0.165843,0.0667751,0.522667,0.0201988,-0.184845,0.0144252,-0.148794,0.0611672,0.287596,0.228162,0.150361,0.206805
12,0.0481857,0.0742207,0.252448,0.112119,-0.0656838,0.0587191,0.0704731,0.151735,0.158501,-0.00434957,0.0459251,0.111736,0.132587,0.170557,-0.0162517,0.0502073,0.242987,0.204911,0.0842512,0.141052
13,-0.256323,0.257519,-0.11184,0.390127,-0.0835149,-0.230963,0.1513,-0.0298134,0.266806,-0.166641,-0.240456,0.26143,-0.13273,0.385582,-0.17905,0.0608312,0.264006,0.186246,0.214005,0.38287
14,0.104975,-0.00659816,0.00659985,0.233542,0.318498,0.136922,-0.0328772,0.197285,0.0190512,0.047835,0.116295,0.0372519,-0.0129313,0.224098,0.217271,0.0559809,0.263852,0.234341,0.166173,0.259858
15,0.264409,0.0392336,-0.261604,-0.0117354,0.171815,0.27845,0.00540631,-0.301622,-0.116038,0.0237373,0.277782,0.00562464,-0.333436,-0.0538978,0.10189,0.0595895,0.332391,0.223873,0.133154,0.194554
16,0.0596817,0.19028,-0.500287,-0.311491,0.00740858,0.0821819,0.192195,-0.530302,-0.365789,-0.0279502,0.0765063,0.183449,-0.562255,-0.271928,0.00669551,0.0791589,0.299323,0.218247,0.205667,0.302463
17,-0.117791,0.157395,0.0353546,0.639413,-0.28735,-0.14709,0.290386,0.00153619,0.696905,-0.157369,-0.143846,0.285974,-0.00653856,0.702927,-0.182587,0.0607393,0.257372,0.150891,0.0929317,0.266331
18,0.0654003,-0.0235106,-0.0940742,0.215087,-0.211729,0.0744178,-0.063101,-0.0521954,0.128176,-0.336341,0.0686709,0.00985468,-0.0501277,0.173043,-0.278076,0.057113,0.25629,0.122075,0.128651,0.184911
19,0.949401,0.0644715,0.0862474,-0.124481,-0.042111,0.940385,0.0247128,0.141323,-0.113395,-0.00970396,0.943955,0.0724474,0.066258,-0.0752977,-0.00662289,0.0540323,0.275965,0.330324,0.139541,0.275829
20,-0.448631,-0.358023,-0.0681743,0.0450037,-0.177546,-0.437752,-0.327677,-0.0787084,0.0444943,-0.180828,-0.434132,-0.342622,-0.11208,0.0589739,-0.209232,0.0530835,0.16747,0.15551,0.115565,0.254004
21,0.0176055,-0.0533155,-0.0632301,0.14964,-0.115337,0.00638817,-0.0465069,-0.0527469,0.190678,-0.00127365,0.0118193,-0.00904434,-0.111774,0.174456,-0.0824093,0.0722051,0.223964,0.180315,0.0784325,0.167549
22,0.384144,0.0248347,-0.281397,-0.322736,0.185903,0.371752,0.0594554,-0.13998,-0.397711,0.153479,0.376736,0.00207971,-0.199727,-0.310658,0.22605,0.0614266,0.269706,0.237739,0.149501,0.321145
23,-0.174826,0.123838,-0.123066,-0.253702,-0.0203612,-0.17381,0.0889096,-0.12211,-0.306485,-0.0981269,-0.176752,0.144995,-0.152897,-0.287064,-0.0853287,0.0563216,0.25044,0.142298,0.106767,0.168048
24,-0.230046,-0.192651,0.182199,0.042948,-0.000555663,-0.254958,-0.171626,0.216123,0.0437341,0.0705887,-0.240312,-0.193594,0.164107,0.0875466,-0.0130235,0.0604013,0.210449,0.137106,0.187764,0.330138
25,-0.367214,-0.266006,0.252189,-0.0388313,-0.40551,-0.365881,-0.294378,0.258904,-0.0514183,-0.417126,-0.375474,-0.243562,0.261766,-0.0518094,-0.428879,0.0504523,0.14435,0.0972843,0.0938643,0.133563
26,0.0382772,0.0476331,-0.210005,-0.0460854,0.209026,0.0209796,0.15279,-0.29325,0.0112714,0.196708,0.0285318,0.103576,-0.307362,0.0195708,0.152689,0.064756,0.325384,0.243889,0.150664,0.269638
27,0.356107,0.153858,-0.321764,-0.280987,0.0317542,0.348175,0.218719,-0.281574,-0.277353,0.0789906,0.351413,0.174591,-0.29365,-0.236888,0.0186294,0.058309,0.284949,0.188501,0.233747,0.425526
28,-0.461705,-0.0634012,0.22792,0.288182,-0.496952,-0.445861,-0.107902,0.241725,0.301127,-0.431906,-0.457798,-0.0982499,0.231939,0.293548,-0.468733,0.0561151,0.190217,0.14229,0.0656571,0.151003
29,0.236066,-0.116291,-0.0110514,-0.408133,0.0563157,0.205725,-0.0528888,0.0810643,-0.404239,0.0859841,0.220887,-0.0870507,0.0245944,-0.376472,0.053714,0.0632827,0.223296,0.193031,0.151888,0.349671
30,0.0890222,0.00711407,0.000616508,-0.159886,0.136008,0.0778438,0.0433368,-0.055489,-0.126655,0.143128,0.0841265,0.0529936,-0.0881835,-0.15707,0.0314208,0.0571047,0.294848,0.196444,0.114405,0.251261
31,-0.157392,-0.00624013,-0.262691,0.199177,0.389482,-0.15407,0.048266,-0.303613,0.08015,0.229812,-0.162299,0.115462,-0.281104,0.061583,0.197186,0.0644267,0.278629,0.15485,0.0948229,0.138207
32,-0.320978,-0.0878556,0.111573,0.0377327,0.059017,-0.31623,-0.124261,0.116651,-0.0125925,0.0426411,-0.319451,-0.0786668,0.125585,0.0224517,0.0436562,0.0762251,0.204726,0.179987,0.210211,0.294496
33,0.122137,0.067728,0.110543,-0.256565,0.505968,0.132476,0.112651,-0.0115449,-0.178996,0.479394,0.130181,0.0882284,-0.0173735,-0.149201,0.456603,0.0569186,0.284778,0.197803,0.199681,0.276163
34,0.303791,0.208031,0.467066,-0.0195916,0.304672,0.296137,0.221584,0.464829,-0.0296159,0.319611,0.314505,0.152782,0.427871,0.0157317,0.300196,0.068423,0.219528,0.238142,0.199335,0.247847
35,-0.241651,-0.0408253,0.422869,0.205086,0.126123,-0.215221,-0.066651,0.510885,0.101444,-0.00333621,-0.232743,-0.060506,0.438309,0.182464,0.0943702,0.068726,0.154754,0.196077,0.0762925,0.13785
