id,eta_logV_SAEM,eta_logCl_SAEM,eta_logV_mean,eta_logCl_mean,eta_logV_mode,eta_logCl_mode,eta_logV_sd,eta_logCl_sd
72,-0.285136,0.047645,-0.285385,0.0482979,-0.280014,0.0547518,0.030398,0.0272848
73,0.0132364,-0.678969,0.0095454,-0.682553,0.00939583,-0.676585,0.0516405,0.0265902
74,-0.0236313,-0.0375312,-0.0292884,-0.0453955,-0.0291579,-0.0411702,0.0389551,0.0278598
75,-0.173952,-0.00667019,-0.183183,-0.0154,-0.16822,-0.00121236,0.021447,0.0179903
76,-0.0569341,-0.109073,-0.0845043,-0.127675,-0.0730459,-0.119818,0.0296457,0.0200422
77,-0.144186,-0.191098,-0.141649,-0.190433,-0.144153,-0.190947,0.0346203,0.0219362
78,-0.00976395,-0.104576,-0.0104627,-0.106103,-0.0166017,-0.105593,0.0320975,0.0268107
79,-0.258967,0.479153,-0.256702,0.483436,-0.261465,0.478467,0.0200795,0.0168521
80,0.00434461,0.202897,0.0240642,0.215179,0.00860245,0.205428,0.0360912,0.0262371
81,-0.312342,-0.692968,-0.314038,-0.694904,-0.316754,-0.69306,0.0376698,0.0279046
82,0.360821,0.0358659,0.355397,0.0304491,0.347864,0.0282333,0.0335783,0.0250474
83,0.697109,0.26799,0.676577,0.257918,0.68902,0.265782,0.0358524,0.0222561
84,0.602551,0.316747,0.594971,0.314114,0.592565,0.314083,0.0342824,0.023164
85,0.298873,0.0713759,0.297003,0.0686185,0.289856,0.0704274,0.0325498,0.0213749
86,-0.303613,-0.228517,-0.297191,-0.227224,-0.29913,-0.225177,0.0405978,0.0268875
87,0.128309,-0.0640581,0.125931,-0.0664016,0.122895,-0.0635105,0.0374866,0.0228015
88,-0.190882,0.0287684,-0.193947,0.0244191,-0.186584,0.0312721,0.0309348,0.0215952
89,0.177625,0.311703,0.173994,0.307166,0.168813,0.306272,0.0341252,0.0266467
90,0.27614,-0.379406,0.280849,-0.376488,0.277929,-0.379032,0.0435352,0.0286796
