id,eta_logV1_SAEM,eta_logQ_SAEM,eta_logV2_SAEM,eta_logVm_SAEM,eta_logKm_SAEM,eta_logV1_mean,eta_logQ_mean,eta_logV2_mean,eta_logVm_mean,eta_logKm_mean,eta_logV1_mode,eta_logQ_mode,eta_logV2_mode,eta_logVm_mode,eta_logKm_mode,eta_logV1_sd,eta_logQ_sd,eta_logV2_sd,eta_logVm_sd,eta_logKm_sd
1,0.311151,-0.0226536,0.0147089,-0.152907,0.276309,0.28177,0.0581037,0.093683,-0.243013,0.141581,0.296015,0.0154225,0.0653192,-0.137709,0.254543,0.0626861,0.182955,0.255247,0.2111,0.383008
2,0.199906,0.0385731,-0.0686972,0.149754,-0.223216,0.199551,0.105619,-0.124994,0.212631,-0.151334,0.204444,0.093808,-0.11973,0.22148,-0.228989,0.0669427,0.230437,0.307399,0.181278,0.386113
3,0.112841,0.0486644,0.00217938,-0.0321915,-0.0521144,0.136062,-0.014091,0.00811592,-0.0384694,-0.00247634,0.132179,-0.0228251,0.0215246,-0.000183489,0.00769313,0.064946,0.217495,0.263085,0.212756,0.431595
4,0.173244,-0.0761177,0.065763,-0.142447,0.048639,0.157117,-0.0589106,-0.0623321,-0.079319,0.0667878,0.160899,-0.0271082,-0.0488411,-0.0466777,0.0875242,0.0628123,0.219423,0.291161,0.184189,0.292574
5,-0.157237,-0.00633022,0.176121,-0.0112608,0.140663,-0.171075,-0.0205371,0.236665,-0.0507752,0.118551,-0.159407,-0.019564,0.179899,-0.00269159,0.0735199,0.0716442,0.21276,0.344677,0.201496,0.371206
6,-0.396357,-0.281413,0.26376,-0.0205166,-0.0421823,-0.419019,-0.22247,0.157251,0.162923,0.180318,-0.410573,-0.246376,0.245681,-0.000717149,-0.0524716,0.0650135,0.210671,0.239624,0.211633,0.280396
7,-0.0526233,-0.190285,0.446098,0.0552061,-0.0678307,-0.0636753,-0.123382,0.355443,0.17358,0.0367422,-0.0563657,-0.106807,0.306551,0.0559529,-0.129896,0.0607637,0.185646,0.227434,0.147658,0.167246
8,0.301354,-0.0485362,-0.431698,0.0974497,-0.141284,0.293557,-0.103411,-0.387236,0.0172803,-0.251128,0.279114,0.0115108,-0.504724,0.0234235,-0.276225,0.0696291,0.290072,0.316134,0.211864,0.251391
9,0.131622,-0.0426476,-0.365101,-0.0724864,-0.0791321,0.11005,-0.120104,-0.268669,0.00225962,0.0505354,0.115024,-0.0465984,-0.370693,-0.0459422,-0.0863628,0.076311,0.245249,0.27749,0.263184,0.397531
10,0.470215,0.0744931,0.0415207,-0.214292,0.223783,0.459443,0.121248,0.0748829,-0.155728,0.331014,0.466028,0.0733638,0.043854,-0.128981,0.255092,0.063347,0.251964,0.265547,0.214748,0.30629
