id,eta_logka_SAEM,eta_logV_SAEM,eta_logCl_SAEM
1,0.286814,0.147459,0.345206
2,0.059216,-0.129302,-0.0436076
3,0.169996,-0.253066,0.0935511
4,0.0304765,0.108667,0.41907
5,-0.0461328,0.0621148,-0.271228
6,0.071706,-0.578502,0.318613
7,-0.201324,0.0662005,-0.394837
8,0.0449888,0.0836695,0.0307335
9,-0.0224425,-0.146345,-0.121956
10,-0.200715,-0.084877,-0.0932093
11,0.147729,-0.462955,-0.611672
12,-0.359842,-0.0753998,0.367669
13,-0.00628416,-0.0239269,0.16014
14,0.0516101,0.244871,0.109947
15,-0.0933741,-0.0165173,-0.219315
16,-0.525851,0.367797,0.270325
17,0.307224,-0.244566,0.197875
18,0.0655275,-0.0456683,-0.0476592
19,0.233511,-0.337907,-0.0437034
20,0.295459,-0.216548,-0.427643
21,-0.037327,-0.0734214,0.249317
22,0.729827,-0.2965,0.0946569
23,0.244743,-0.000499035,-0.0692105
24,-0.0439442,0.0889759,0.0893374
25,0.0132477,-0.143204,-0.297746
26,-0.321448,0.0905305,-0.0178742
27,-0.00220404,-0.237309,0.308671
28,-0.134755,0.092692,-0.462769
29,0.0814432,0.0835594,0.0459515
30,0.356735,-0.0898005,0.672345
31,-0.146005,0.152556,0.175814
32,0.0265892,0.188258,0.13704
33,0.0393169,0.144952,0.26605
34,-0.100482,0.25938,-0.12922
35,0.297991,-0.123035,-0.113327
36,0.00236504,0.00253559,-0.132079
37,0.310585,-0.103561,-0.0104398
38,-0.0214231,0.120191,-0.179682
39,-0.114827,-0.0835031,-0.373362
40,0.00971929,0.0910292,0.230801
41,0.206996,0.104218,-0.189232
42,-0.0811503,-0.109689,-0.131689
43,-0.170676,0.0311095,0.289688
44,0.0487337,-0.323737,-0.19646
45,0.136849,0.0701852,-0.0821836
46,-0.173835,-0.304275,-0.741918
47,0.157137,0.0839703,0.43848
48,0.453359,-0.0680548,0.119605
49,-0.129464,0.287787,0.0593016
50,0.0214505,-0.249717,0.0631951
51,0.00256136,-0.141814,-0.325627
52,0.0186802,0.14396,0.104548
53,-0.00100885,0.0352921,-0.109205
54,0.094445,0.198734,0.0468621
55,-0.0278979,0.251771,-0.171799
56,-0.0778389,0.372806,0.111066
57,-0.357755,-0.0731273,-0.342035
58,0.0398922,0.334036,0.189988
59,-0.246939,-0.118458,-0.19402
60,-0.0996932,0.216551,-0.244072
61,0.406865,-0.182559,0.215271
62,-0.104192,-0.148228,-0.208183
63,-0.40741,0.0974589,-0.199746
64,-0.0533912,0.0550634,-0.157167
65,0.702874,-0.0612909,-0.0194224
66,-0.00612124,-0.0842802,-0.500096
67,0.257502,-0.0112624,0.171183
68,-0.0387459,-0.256973,-0.149385
69,0.105126,-0.135566,0.0707827
70,0.0907279,0.166952,0.296933
71,0.0726499,0.162115,0.0400617
72,-0.347384,0.1969,0.089995
73,-0.0976213,-0.0711814,-0.122972
74,-0.0214824,0.0941885,0.0233618
75,-0.0680482,0.154363,0.175053
76,-0.429868,0.0968033,-0.210203
77,0.0717637,0.0932726,0.0225747
78,-0.336605,0.413185,0.140623
79,-0.0615756,-0.109833,-0.0381424
80,0.0133616,0.105198,0.114137
81,-0.160751,0.0183051,-0.279083
82,-0.00941739,-0.0568573,0.515578
83,-0.312083,0.112009,-0.121795
84,0.780271,-0.421269,0.337726
85,-0.105426,0.0430622,-0.139225
86,0.0799245,0.00055546,-0.000566912
87,-0.05919,-0.00686269,-0.0537978
88,-0.0523679,-0.0850683,0.0661001
89,-0.147837,0.169218,-0.105135
90,-0.0153385,0.0231462,-0.175749
91,0.00522542,-0.0209572,0.131971
92,0.159297,0.365179,0.457248
93,0.0247983,0.308423,0.437647
94,-0.103445,-0.0494184,-0.285327
95,0.0605485,0.248909,0.153495
96,0.0766692,-0.118382,-0.0264951
97,-0.0414981,0.0850637,0.191559
98,0.131084,-0.21435,0.249033
99,-0.506998,0.0141091,0.557284
100,0.00180591,0.0835421,-0.00973496
101,0.0368072,-0.193589,0.0771855
102,-0.0445675,0.171669,-0.129136
103,0.0957157,0.15626,0.113728
104,0.0415108,0.0404957,0.24105
105,0.0506568,-0.0665072,0.0257475
106,-0.0519379,0.0550161,-0.134496
107,0.43692,-0.239318,0.241058
108,0.0616647,0.0166585,-0.0431006
109,-0.0810924,-0.0430431,-0.00667492
110,0.200201,-0.049734,0.167671
111,-0.307956,-7.95358e-6,-0.563424
112,0.0349569,-0.180639,-0.143128
113,0.0329373,0.0815553,-0.314292
114,-0.149353,0.182268,0.117169
115,-0.262435,-0.0233474,0.065342
116,0.251628,-0.151504,-0.193327
117,-0.286501,-0.0498463,-0.271218
118,0.0275573,0.0942431,-0.0974977
119,-0.352608,-0.107201,-0.166613
120,-0.00771632,-0.262993,-0.0462402
